a	アー
ai	アイ
an	アン
ang	アン
ao	アオ
ba	バー
bai	バイ
ban	バン
bang	バン
bao	バオ
bei	ベイ
ben	ベン
beng	ボン
bi	ビー
bian	ビエン
biao	ビアオ
bie	ビエ
bin	ビン
bing	ビン
bo	ボー
bu	ブー
ca	ツァー
cai	ツァイ
can	ツァン
cang	ツァン
cao	ツァオ
ce	ツォー
cen	ツェン
ceng	ツォン
cha	チャー
chai	チャイ
chan	チャン
chang	チャン
chao	チャオ
che	チョー
chen	チェン
cheng	チョン
chi	チー
chong	チョン
chou	チョウ
chu	チュー
chua	チュワ
chuai	チュワイ
chuan	チュワン
chuang	チュアン
chui	チュイ
chun	チュン
chuo	チュオ
ci	ツー
cong	ツォン
cou	ツォウ
cu	ツー
cuan	ツワン
cui	ツイ
cun	ツン
cuo	ツオ
da	ダー
dai	ダイ
dan	ダン
dang	ダン
dao	ダオ
de	ドー
dei	デイ
den	デン
deng	ドン
di	ディー
dian	ディエン
diao	ディアオ
die	ディエ
ding	ディン
diu	ディウ
dong	ドン
dou	ドウ
du	ドゥー
duan	ドワン
dui	ドゥイ
dun	ドゥン
duo	ドゥオ
e	オー
ei	エイ
en	エン
eng	オン
er	アル
fa	ファー
fan	ファン
fang	ファン
fei	フェイ
fen	フェン
feng	フォン
fo	フォー
fou	フォウ
fu	フー
ga	ガー
gai	ガイ
gan	ガン
gang	ガン
gao	ガオ
ge	ゴー
gei	ゲイ
gen	ゲン
geng	ゴン
gong	ゴン
gou	ゴウ
gu	グー
gua	グワ
guai	グワイ
guan	グワン
guang	グアン
gui	グイ
gun	グン
guo	グオ
ha	ハー
hai	ハイ
han	ハン
hang	ハン
hao	ハオ
he	ホー
hei	ヘイ
hen	ヘン
heng	ホン
hong	ホン
hou	ホウ
hu	フー
hua	ホワ
huai	ホワイ
huan	ホワン
huang	ホアン
hui	フイ
hun	フン
huo	フオ
ji	ジー
jia	ジア
jian	ジエン
jiang	ジアン
jiao	ジアオ
jie	ジエ
jin	ジン
jing	ジン
jiong	ジオン
jiu	ジウ
ju	ジュー
juan	ジュエン
jue	ジュエ
jun	ジュン
ka	カー
kai	カイ
